FI_CODE,FI_BRANCH,FI_NAME_THAI,FI_NAME_ENG,OPEN_DATE
002,0001,สาขาพลับพลาไชย,PHLAPPHLA CHAI BRANCH,25250216
002,0002,สาขาเทสโก้ โลตัส วัชรพล,TESCO LOTUS WATCHARAPHON  BRANCH,25481209
002,0003,สาขาเทสโก้ โลตัส บางพลี,TESCO LOTUS BANG PHLI  BRANCH,25481119
002,0004,สาขาบิ๊กซี สุขาภิบาล 3,BIG C SUKAPHIBAL 3  BRANCH,25480901
002,0005,สาขาบิ๊กซี เพชรเกษม,BIG C PETCHKASEM  BRANCH,25481004
002,0006,สาขาเทสโก้ โลตัส เยาวราช,TESCO LOTUS YAOWARAJ  BRANCH,25481020
002,0007,สาขาเทสโก้ โลตัส พระราม 1,TESCO LOTUS RAMA 1  BRANCH,25480708
002,0008,สาขาเทสโก้ โลตัส วังหิน,TESCO LOTUS WANGHIN  BRANCH,25480913
002,0009,สาขาเดอะมอลล์ 3 รามคำแหง,THE MALL 3 RAMKAMHAENG  BRANCH,25480426
002,0010,สาขาบิ๊กซี พระราม 2,BIG C RAMA 2  BRANCH,25480603
002,0011,สาขาเทสโก้ โลตัส รังสิต-นครนายก คลอง 3,TESCO LOTUS RANGSIT NAKORNNAYOK KLONG 3  BRANCH,25480906
002,0012,สาขาบิ๊กซี อ้อมใหญ่,BIG C OMYAI BRANCH,25480923
002,0013,สาขาศูนย์การค้าอยุธยาพาร์ค,AYUTTHAYA PARK SHOPPING COMPLEX BRANCH,25471224
002,0014,สาขาอาคารมาลีนนท์,MALEENONT TOWER  BRANCH,25471008
002,0015,สาขาสวนอุตสาหกรรมโรจนะ,ROCHANA INDUSTRIAL PARK AYUTTHAYA BRANCH,25471224
002,0016,สาขาเทสโก้ โลตัส จรัญสนิทวงศ์,TESCO LOTUS CHARANSANITWONG  BRANCH,25470521
002,0017,สาขาเทสโก้ โลตัส ปทุมธานี,TESCO LOTUS PATHUMTHANI BRANCH,25480628
002,0018,สาขาบิ๊กซี รัตนาธิเบศร์,Big C Rattanathibet  Br.,25470430
002,0019,สาขาเทสโก้ โลตัส มีนบุรี,TESCO LOTUS MEENBURI  BR.,25470423
002,0020,สาขามหาวิทยาลัยรังสิต,RANGSIT UNIVERSITY  BRANCH,25461020
002,0021,สาขาบิ๊กซี สะพานควาย,BIG C SAPHANKHWAI BRANCH,25461126
002,0022,สาขาเทสโก้ โลตัส บางใหญ่,TESCO LOTUS BANGYAI  BRANCH,25461007
002,0023,สาขาเทสโก้ โลตัส แจ้งวัฒนะ,TESCO LOTUS CHAENGWATTANA  BRANCH,25460923
002,0024,สาขาบิ๊กซี ลาดพร้าว 2,BIG C LADPRAO 2 BRANCH,25461008
002,0025,สาขาเทสโก้ โลตัส พระราม 2,TESCO LOTUS RAMA 2 BR.,25470312
002,0026,สาขาฟิวเจอร์พาร์ค รังสิต,FUTURE PARK RANGSIT BRANCH,25460703
002,0027,สาขานิคมอุตสาหกรรมบางปะอิน,BANGPAIN INDUSTRIAL ESTATE BRANCH,25460704
002,0028,สาขาเซียร์ รังสิต,ZEER RANGSIT BRANCH,25481128
002,0029,สาขาบิ๊กซี ราชดำริ,Big C Rajdamri  Br.,25460501
002,0030,สาขามหาวิทยาลัยหอการค้าไทย,THE UNIVERSITY OF THE THAI CHAMBER OF COMMERCE  BRANCH,25460404
