FI_CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE
001,ธนาคารแห่งประเทศไทย,BANK OF THAILAND,24851210
002,ธ. กรุงเทพ จำกัด (มหาชน),BANGKOK BANK PUBLIC COMPANY LTD.,24871201
004,ธ. กสิกรไทย จำกัด (มหาชน),KASIKORNBANK PUBLIC COMPANY LTD.,24880608
006,ธ. กรุงไทย จำกัด (มหาชน),KRUNG THAI BANK PUBLIC COMPANY LTD.,25090314
008,ธ. เจพีมอร์แกน เชส,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",24920805
009,ธ. โอเวอร์ซี-ไชนีสแบงกิ้งคอร์ปอเรชั่น จำกัด,OVER SEA-CHINESE BANKING CORPORATION LIMITED,24520702
011,ธ. ทหารไทย จำกัด (มหาชน),TMB BANK PUBLIC COMPANY LIMITED,25001108
014,ธ. ไทยพาณิชย์ จำกัด (มหาชน),SIAM COMMERCIAL BANK PUBLIC COMPANY LTD.,24490401
017,ธ. ซิตี้แบงก์ เอ็น.เอ.,"CITIBANK, N.A.",24660101
018,ธ. ซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น,SUMITOMO MITSUI BANKING CORPORATION,24951122
020,ธ. สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED,24761011
022,ธ. ซีไอเอ็มบี ไทย จำกัด (มหาชน),CIMB THAI BANK PUBLIC COMPANY LIMITED,24920311
023,ธ. อาร์ เอช บี จำกัด,RHB BANK BERHAD,25070228
024,ธ. ยูโอบี จำกัด (มหาชน),UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,24821002
025,ธ. กรุงศรีอยุธยา จำกัด (มหาชน),BANK OF AYUDHYA PUBLIC COMPANY LTD.,24880402
026,ธ. เมกะ สากลพาณิชย์ จำกัด (มหาชน),MEGA  INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED,24901010
027,ธ. แห่งอเมริกาเนชั่นแนลแอสโซซิเอชั่น,"BANK OF AMERICA, NATIONAL ASSOCIATION",24921201
029,ธ. อินเดียนโอเวอร์ซีส์,INDIAN OVERSEA BANK,24901223
030,ธ. ออมสิน,GOVERNMENT SAVINGS BANK,24560401
031,ธ. ฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,24311202
032,ธ. ดอยซ์แบงก์,DEUTSCHE BANK AG.,25210703
033,ธ. อาคารสงเคราะห์,GOVERNMENT HOUSING BANK,24960924
034,ธ. เพื่อการเกษตรและสหกรณ์การเกษตร,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,25091101
035,ธ. เพื่อการส่งออกและนำเข้าแห่งประเทศไทย,EXPORT-IMPORT BANK OF THAILAND,25370217
039,ธ. มิซูโฮ จำกัด สาขากรุงเทพฯ,"MIZUHO BANK, LTD. BANGKOK BRANCH",25450401
045,ธ. บีเอ็นพี พารีบาส์,BNP PARIBAS,25361109
052,ธ. แห่งประเทศจีน (ไทย) จำกัด (มหาชน),BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25370221
065,ธ. ธนชาต จำกัด (มหาชน),THANACHART BANK PUBLIC COMPANY LTD.,25450422
066,ธ. อิสลามแห่งประเทศไทย,ISLAMIC BANK OF THAILAND,25460612
067,ธ. ทิสโก้ จำกัด (มหาชน),TISCO BANK PUBLIC COMPANY LIMITED,25480701
069,ธ. เกียรตินาคิน จำกัด (มหาชน),KIATNAKIN BANK PUBLIC COMPANY LIMITED,25481003
070,ธ. ไอซีบีซี (ไทย) จำกัด (มหาชน),INDUSTRIAL AND COMMERCIAL BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25481223
071,ธ. ไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน),THE THAI CREDIT RETAIL BANK PUBLIC COMPANY LIMITED,25500118
073,ธ. แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),LAND AND HOUSES BANK PUBLIC COMPANY LIMITED,25481219
079,ธ. เอเอ็นแซด (ไทย) จำกัด (มหาชน),ANZ BANK (THAI) PUBLIC COMPANY LIMITED,25580629
